v1.0.1+19,,,,,,,,
ID,Módulo,Descripción del Test,Resultado Esperado,Estado Actual (v1.0.1+19),Comentarios,,,Firma QA
TOM-7NU-003,Tómbola,Rechazar jugada 7 nums por monto sobre máximo (ej $1000),Carrito $0 y mensaje de error de monto,🤖 Automatizado,Automatizado,FALSE,,
TOM-7NU-004,Tómbola,Jugada de 7 números por sorpresa,$100 en carrito y 7 números generados,🤖 Automatizado,Automatizado,FALSE,,
5 DE ORO,,,,,,,,
ORO-C5N-001,5 de Oro,Jugada de 5 Números Común sorpresa,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-R5S-001,5 de Oro,Jugada de 5 Números Revancha sorpresa,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-R5M-002,5 de Oro,Jugada de 5 Números Revancha manual "1 2 3 4 48",El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-R5E-003,5 de Oro,Jugada de 5 Números Revancha con nro fuera de rango,Error indicando que el número está fuera de rango y no agrega la jugada,🤖 Automatizado,Automatizado,FALSE,,
ORO-CM4-001,5 de Oro,Jugada de 4 Números Común sorpresa,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-CM6-002,5 de Oro,Jugada de 6 Números Común,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-CM7-003,5 de Oro,Jugada de 7 Números Común,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-CM8-004,5 de Oro,Jugada de 8 Números Común,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-RM4-001,5 de Oro,Jugada de 4 Números Revancha sorpresa,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-RM6-002,5 de Oro,Jugada de 6 Números Revancha,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-RM7-003,5 de Oro,Jugada de 7 Números Revancha,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-RM8-004,5 de Oro,Jugada de 8 Números Revancha,El sistema agrega la jugada correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
ORO-FR5-001,5 de Oro,Jugada de 5 Números Revancha a 3 sorteos futuros sorpresa,El sistema agrega las jugadas correctamente y el total de la venta se actualiza,🤖 Automatizado,Automatizado,FALSE,,
LOTERÍA,,,,,,,,
LOT-ENT-001,Lotería,Jugar Lotería de un entero buscado por número,Agrega el entero al carrito correctamente,🤖 Automatizado,Automatizado,FALSE,,
LOT-ENT-002,Lotería,Jugar Lotería buscado por número no existente,Muestra un mensaje de error y no lo agrega,🤖 Automatizado,Automatizado,FALSE,,
LOT-FRA-001,Lotería,Ingresar 2 fracciones de un número de Lotería,Busca el número y agrega las 2 fracciones al carrito,🤖 Automatizado,Automatizado,FALSE,,
LOT-RES-001,Lotería,Realizar una reserva de un entero de Lotería,Agrega la reserva al carrito correctamente,🤖 Automatizado,Automatizado,FALSE,,
LOT-RES-002,Lotería,Realizar reserva de un entero con otra jugada en el carrito,Muestra error porque una reserva debe ir sola en el carrito,🤖 Automatizado,Automatizado,FALSE,,
LOT-VER-001,Lotería,Listar el estado de las reservas de Lotería,Se listan todas las reservas correctamente en la pestaña correspondiente,🤖 Automatizado,Automatizado,FALSE,,
SUPERMATCH,,,,,,,,
SUP-SUC-001,Supermatch,Ingresar una prearmada existente y agregarla al carrito,Se listan las lineas y opciones de la prearmada y se almacena en el carrito,🤖 Automatizado,Automatizado,FALSE,,
SUP-INV-002,Supermatch,Ingresar una prearmada no existente y buscarla,Se muestra un cartel de error,Pendiente,FALSE,,,
SERVICIOS DIGITALES,,,,,,,,
PWC-ERR-001,Digitales,Pines Web: Carga con C.I. inválida,El sistema no lo agrega al carrito y muestra error de C.I. inválida,🤖 Automatizado,Automatizado,FALSE,,
PWC-OK1-002,Digitales,Pines Web: Carga con C.I. válida,El sistema lo agrega al carrito correctamente,🤖 Automatizado,Automatizado,FALSE,,
PWC-OK2-003,Digitales,Pines Web: Carga con C.I. válida y monto alto,El sistema lo agrega al carrito correctamente,🤖 Automatizado,Automatizado,FALSE,,
REC-INV-001,Digitales,Recarga Telefónica: Número inválido,El sistema no la agrega al carrito y muestra número inválido,🤖 Automatizado,Automatizado,FALSE,,
REC-SUC-002,Digitales,Recarga Telefónica: Carga exitosa,El sistema la agrega al carrito y actualiza el total,🤖 Automatizado,Automatizado,FALSE,,
REC-INV-003,Digitales,Recarga Telefónica: Monto inválido,El sistema no la agrega e indica monto inválido,🤖 Automatizado,Automatizado,FALSE,,
MI NEGOCIO,,,,,,,,
RVS-RES-001,Mi Negocio,Ver resumen de ventas del día,Se cargan los datos de la fecha de hoy,🤖 Automatizado,Automatizado,FALSE,,
RVS-FCH-002,Mi Negocio,Cambiar la fecha en el resumen de ventas,Se cargan los datos de la fecha seleccionada,🤖 Automatizado,Automatizado,FALSE,,
RVS-APU-003,Mi Negocio,Ver resumen de ventas de apuestas agrupadas por producto,Categorizadas por productos y total de apuestas,🤖 Automatizado,Automatizado,FALSE,,
RVS-REC-004,Mi Negocio,Ver resumen de ventas de recargas,Muestra texto "No hay recargas" si aplica,🤖 Automatizado,Automatizado,FALSE,,
RVS-ANU-005,Mi Negocio,Ver resumen de ventas de tickets anulados,Muestra tickets y cantidad al final,🤖 Automatizado,Automatizado,FALSE,,
ANU-PND-001,Mi Negocio,Ver anulados pendientes de entrega,Muestra lista de cupones,🤖 Automatizado,Automatizado,FALSE,,
ANU-ENT-002,Mi Negocio,Ver anulados entregados,Muestra lista de cupones,🤖 Automatizado,Automatizado,FALSE,,
ANU-COB-003,Mi Negocio,Ver anulados cobrados forzosamente,Muestra lista de cupones,🤖 Automatizado,Automatizado,FALSE,,
ACP-PND-001,Mi Negocio,Ver aciertos pagos pendientes de entrega,Listado de aciertos pendientes,🤖 Automatizado,Automatizado,FALSE,,
ACP-ENT-002,Mi Negocio,Ver aciertos pagos entregados,Listado de aciertos entregados,🤖 Automatizado,Automatizado,FALSE,,
CTC-LST-001,Mi Negocio,Ver listado de movimientos en cuenta corriente,Saldo actual y movimientos,🤖 Automatizado,Automatizado,FALSE,,
ACR-FUL-001,Mi Negocio,Ver aciertos recientes con detalle completo,Listado y despliegue de detalle with tap,🤖 Automatizado,Automatizado,FALSE,,
CONFIGURACIÓN,,,,,,,,
SRT-CRG-001,Config,Ver sorteos actuales cargados,Se muestran los sorteos cargados,🤖 Automatizado,Automatizado,FALSE,,
SRT-ACT-002,Config,Actualizar sorteos actuales,Se muestran los nuevos sorteos,🤖 Automatizado,Automatizado,FALSE,,
ANULACIONES,,,,,,,,
CU-CAN-001,Anula,Anular ticket inmediato (Quiniela/Tómbola),Ticket anulado correctamente,✅ Pasa,FALSE,,,
CU-CAN-002,Anula,Anular ticket diferido (5 de Oro),Permite anular siempre que el sorteo no haya cerrado o pasado el tiempo límite,Pendiente,Automatizado,FALSE,,
CU-CAN-003,Anula,Intentar anular ticket fuera de plazo,Sistema arroja error "Anulación fuera de plazo",Pendiente,Automatizado,FALSE,,
CU-CAN-004,Anula,Anular ticket de Juego Instantáneo (Digitales / Recargas),Informa que el producto no permite anulación,Pendiente,Automatizado,FALSE,,
PAGOS DE ACIERTOS,,,,,,,,
CU-PAG-001,Pagos,Pagar acierto,"Validación exitosa; muestra opción pagar/no pagar con monto. Al pagar muestra nro doc, monto, lista de jugadas y total.",✅ Pasa,Flujo visual completo verificado y correcto.,FALSE,,
CU-PAG-002,Pagos,Pagar acierto (Tómbola),Validación exitosa; emisión de comprobante de pago,✅ Pasa,FALSE,,,
CU-PAG-003,Pagos,Pago de ticket ganador menor a $10.000,Descuenta el monto del saldo de la terminal (Caja),✅ Pasa,Automatizado,FALSE,,
CU-PAG-004,Pagos,Pago de ticket con premio mayor (Dirigir a Banca),Muestra mensaje "Premio Mayor: Dirigirse a Banca",Pendiente,Automatizado,FALSE,,
CU-PAG-005,Pagos,Cobro ticket vencido (>30 días o según ley),El sistema muestra mensaje claro indicando que el ticket está vencido y no se puede pagar.,✅ Pasa,Se muestra correctamente la pantalla de ticket vencido.,FALSE,,
CU-PAG-006,Pagos,Pagar acierto y repetir jugadas,"Premio se resta del costo de las nuevas jugadas; carrito queda correctamente calculado.",✅ Pasa,"El monto a pagar finaliza con el premio restado del costo de las jugadas repetidas. Funciona perfecto.",FALSE,,
CU-PAG-007,Pagos,Pagar acierto y NO repetir jugadas,"Premio se agrega, carrito queda en rojo (negativo) y se imprime pago.",✅ Pasa,El carrito muestra el valor negativo correctamente y habilita la impresión del pago.,FALSE,,
CU-PAG-008,Pagos,Pagar acierto ya cobrado (pero no vencido),"Muestra que ya está pago, permite imprimir comprobante, y luego de confirmar muestra las jugadas para repetir.",✅ Pasa,"Flujo verificado. Permite impresión de comprobante y repetición de jugadas de tickets ya cobrados.",FALSE,,
IMPRESIÓN,,,,,,,,
CU-IMP-001,Printer,Impresión de ticket legible,CB legible por scanner; datos de agencia y fecha correctos,✅ Pasa,FALSE,,,
CU-IMP-002,Printer,Falta de papel durante impresión,Sistema detecta error y permite re-imprimir una vez cargado el papel,✅ Pasa,FALSE,,,
SIN CONECTIVIDAD (A DETERMINAR),,,,,,,,
CU-OFF-001,Offline,Intento de venta sin internet,Sistema debe informar falta de conexión (si no hay modo offline permitido),Pendiente,Pendiente de definir caso de uso,FALSE,,
CU-OFF-002,Offline,Reintento automático al recuperar conexión,Sincronización de transacciones pendientes en el POS,Pendiente,Pendiente de definir caso de uso,FALSE,,
UX Y NAVEGACIÓN,,,,,,,,
CU-NAV-001,UX,Tiempo de respuesta entre pantallas < 1s,Navegación fluida sin lags perceptibles,✅ Pasa,Resuelto en v1.0.1+19. Confirmada fluidez en release mode.,FALSE,,
REGLAS DE NEGOCIO (SORTEOS),,,,,,,,
CU-RN-001,Reglas,Control de horario de cierre estricto,No permite vender Quiniela/Tómbola si el reloj del POS > hora de cierre del sorteo,Pendiente,Revisar caso de uso,FALSE,,
CU-RN-002,Reglas,Importes mínimos y máximos por apuesta,Sistema valida que la apuesta esté en el rango permitido antes de emitir,Pendiente,FALSE,,,
ALTERNATIVAS,,,,,,,,
CU-ALT-001,Alternativas,Jugada rechazada SIN alternativa,Sistema informa jugada rechazada,✅ Pasa,FALSE,,,
CU-ALT-002,Alternativas,Jugada rechazada CON alternativa,Sistema propone alternativas parciales de la banca,✅ Pasa,FALSE,,,
CU-ALT-003,Alternativas,Rechazar alternativa (No confirmar),Permite cancelar la operación sin agregar nada al carrito,✅ Pasa,Automatizado,FALSE,,
CU-ALT-004,Alternativas,Cerrar ventana de alternativas (X / Escape),Acción interpretada como rechazo implícito,✅ Pasa,"Sin botón X, se rechaza por timeout y queda en carrito",FALSE,,
CARRITO,,,,,,,,
CU-CAR-001,Carrito,Acumulación de jugadas,Suma de importes correcta al agregar múltiples tickets (incluyendo alternativas aceptadas),✅ Pasa,Automatizado,FALSE,,
CU-CAR-002,Carrito,Eliminar una jugada específica del carrito,Permite quitar un ticket específico antes de la confirmación de pago,✅ Pasa,Automatizado,FALSE,,
CU-CAR-003,Carrito,Vaciar el carrito completamente,Eliminar todas las jugadas del carrito en una sola acción,✅ Pasa,Automatizado,FALSE,,
CU-CAR-004,Carrito,Intentar comprar con carrito vacío,Bloqueo de la acción de compra cuando no hay jugadas ingresadas,⛔ Falla,"Al eliminar última jugada, permite Emitir y app queda colgada en Autorizando",FALSE,,
BUGS A TESTEAR,,,,,,,,
BUG-TOM-001,Tómbola,Tecleo rápido terminando en '4' pierde el dígito al confirmar (v1.0.1+17),,✅ Pasa,Resuelto en v1.0.1+17,FALSE,,
BUG-5OR-001,5 de Oro,Consulta de Sorteo sin Resultados mostraba Pantalla Gris,,✅ Pasa,Resuelto en v1.0.1+17,FALSE,,
BUG-5OR-002,5 de Oro,"Selector de fecha queda deshabilitado tras visitar sorteo sin resultados (state leak a QUI/TOM)",,✅ Pasa,"Verificado en v1.0.1+19. El filtro de fecha funciona correctamente incluso sin sorteos previos.",FALSE,,
BUG-5OR-003,5 de Oro,"Botón de acción cambia de Ingresar a Emitir prematuramente ante error de validación",,⛔ Falla,"Reproducido en v1.0.1+17 y v1.0.1+19. Los botones Ingresar/Emitir desaparecen al fallar la validación. Al haber error en input focus, el botón permite emitir el carrito ignorando la jugada errónea.",FALSE,,
BUG-LOT-192,Lotería,QR impreso en cupón de Lotería es ilegible por tamaño reducido (v1.0.1+17),,✅ Pasa,"QR agrandado y legible, aunque le cuesta un poco escanearlo. Sugestión: Agrandar más y agregar espacio en el texto circundante.",FALSE,,
