v1.0.1+20,,,,,,,
ID,Módulo,Descripción del Test,Resultado Esperado,Tipo Autom.,Estado Test,Comentarios
CU-ALT-002,Alternativas,Jugada rechazada CON alternativa,Sistema propone alternativas parciales de la banca,Manual,✅ Pasa,
CU-ALT-003,Alternativas,Rechazar alternativa (No confirmar),Permite cancelar la operación sin agregar nada al carrito,Automático,✅ Pasa,
CU-ALT-004,Alternativas,Cerrar ventana de alternativas (X / Escape),Acción interpretada como rechazo implícito,Manual,✅ Pasa,"Sin botón X, se rechaza por timeout y queda en carrito"
CARRITO,,,,,,,
CU-CAR-001,Carrito,Acumulación de jugadas,Suma de importes correcta al agregar múltiples tickets (incluyendo alternativas aceptadas),Automático,✅ Pasa,
CU-CAR-002,Carrito,Eliminar una jugada específica del carrito,Permite quitar un ticket específico antes de la confirmación de pago,Automático,✅ Pasa,
CU-CAR-003,Carrito,Vaciar el carrito completamente,Eliminar todas las jugadas del carrito en una sola acción,Automático,✅ Pasa,
CU-CAR-310,Carrito,Falla al eliminar última jugada del carrito (v1.0.1+20),No debe colgar la app,Manual,✅ Pasa,
BUGS Y FEATURES A TRATAR,,,,,,,
BUG-TOM-001,Tómbola,Tecleo rápido terminando en '4' pierde el dígito al confirmar (v1.0.1+17),,Manual,✅ Pasa,Resuelto en v1.0.1+17
BUG-5OR-001,5 de Oro,Consulta de Sorteo sin Resultados mostraba Pantalla Gris,,Manual,✅ Pasa,Resuelto en v1.0.1+17
BUG-5OR-002,5 de Oro,Selector de fecha queda deshabilitado tras visitar sorteo sin resultados,,Manual,✅ Pasa,Resuelto en v1.0.1+17
BUG-CFG-001,SO/Tablet,Cambiar sonido de Terminal bloquea la UI del POS,,Manual,✅ Pasa,Verificado en v1.0.1+20.
BUG-PAG-199,Pagos,Imprimir detalles del acierto antes de pagar,,Manual,✅ Pasa,Functional (REQ-228 union)
BUG-RN-102,Reglas,Alerta por importe máximo excedido (Issue 102),,Manual,✅ Pasa,"Funciona por jugada individual. Caveat: No aplica al acumulado del carrito."
BUG-CFG-002,Config,PIN visible (sin asteriscos) en pantalla de Alerta por importe,,Manual,⛔ Falla,Falta masking en inputs.
BUG-CFG-003,Config,Desincronización de PIN entre pantallas,,Manual,⛔ Falla,Cambiar PIN en Preferencias no actualiza el de Alertas.
BUG-CFG-004,Config,Falta de botón Confirmar al cambiar PIN existente,,Manual,⛔ Falla,Requiere Enter en teclado.
BUG-LOT-192,Lotería,QR de Lotería ilegible (v1.0.1+20),,Manual,✅ Pasa,Cerrado por decisión (solo lectura móvil).
REQ-LOT-288,Lotería,Test automático de flujo de venta (v1.0.1+20),,Automático,Pendiente,
BUG-ORO-311,5 de Oro,Jugada desaparece al intentar emitir con error,,Manual,✅ Pasa,
