v1.0.1+12,,,,,,,,
ID,Módulo,Descripción del Test,Resultado Esperado,Estado Actual (v1.0.1+12),Comentarios,,,Firma QA
CU-CAN-004,Anula,Intento de anular ticket de sorteo cerrado,Sistema arroja error "No permitido",🚧 Bloqueado,verificar mensajes,,FALSE
PAGOS DE ACIERTOS,,,,,,,,
CU-PAG-001,Pagos,Pagar acierto,Validación exitosa; emisión de conprobante de pago,✅ Pasa,,,,TRUE
CU-PAG-002,Pagos,Pagar acierto (Tómbola),Validación exitosa; emisión de conprobante de pago,✅ Pasa,,,,TRUE
CU-PAG-003,Pagos,Intento cobro ticket perdedor,Sistema arroja error "Ticket sin premio",✅ Pasa,,,,TRUE
CU-PAG-004,Pagos,Intento cobro ticket ya pago,Mustra correctamente informacion del pago,✅ Pasa,,,,TRUE
CU-PAG-005,Pagos,Cobro ticket vencido (>30 días o según ley),-,🚧 Bloqueado,Revisar mensajes y caso de uso,,FALSE
IMPRESIÓN,,,,,,,,
CU-IMP-001,Printer,Impresión de ticket legible,CB legible por scanner; datos de agencia y fecha correctos,✅ Pasa,,,,TRUE
CU-IMP-002,Printer,Falta de papel durante impresión,Sistema detecta error y permite re-imprimir una vez cargado el papel,Pendiente,,,,FALSE
SIN CONECTIVIDAD (A DETERMINAR),,,,,,,,
CU-OFF-001,Offline,Intento de venta sin internet,Sistema debe informar falta de conexión (si no hay modo offline permitido),Pendiente,Pendiente de definir caso de uso,,FALSE
CU-OFF-002,Offline,Reintento automático al recuperar conexión,Sincronización de transacciones pendientes en el POS,Pendiente,Pendiente de definir caso de uso,,FALSE
UX Y NAVEGACIÓN,,,,,,,,
CU-NAV-001,UX,Tiempo de respuesta entre pantallas < 1s,Navegación fluida sin lags perceptibles,✅ Pasa,,,,TRUE
REGLAS DE NEGOCIO (SORTEOS),,,,,,,,
CU-RN-001,Reglas,Control de horario de cierre estricto,No permite vender Quiniela/Tómbola si el reloj del POS > hora de cierre del sorteo,🚧 Bloqueado,Revisar caso de uso,,FALSE
CU-RN-002,Reglas,Importes mínimos y máximos por apuesta,Sistema valida que la apuesta esté en el rango permitido antes de emitir,Pendiente,,,,FALSE
ALTERNATIVAS,,,,,,,,
CU-ALT-001,Alternativas,Jugada rechazada SIN alternativa,Sistema informa jugada rechazada, solo deja confirmar,✅ Pasa,,,,TRUE
CU-ALT-002,Alternativas,Jugada rechazada CON alternativa,Sistema propone alternativas parciales de la banca,Pendiente,,,,FALSE
CU-ALT-003,Alternativas,Rechazar alternativa (No confirmar),Permite cancelar la operación sin agregar nada al carrito,✅ Pasa,,,,TRUE
CU-ALT-004,Alternativas,Confirmar alternativa,Agrega la propuesta aceptada al carrito correctamente,✅ Pasa,,,,TRUE
CARRITO,,,,,,,,
CU-CAR-001,Carrito,Acumulación de jugadas,Suma de importes correcta al agregar múltiples tickets (incluyendo alternativas aceptadas),✅ Pasa,,,,TRUE
CU-CAR-002,Carrito,Acumulación con pago de aciertos,Resta el valor del acierto al total del carrito correctamente (Saldo neto),✅ Pasa,,,,TRUE
CU-CAR-003,Carrito,Editar jugada desde el carrito,Permite nodificar dígitos o montos de una jugada previa al pago final,✅ Pasa,,,,TRUE
CU-CAR-004,Carrito,Eliminar jugada del carrito,Permite quitar un ticket específico antes de la confirmación de pago,✅ Pasa,,,,TRUE
BUGS A TESTEAR,,,,,,,,
BUG-TOM-001,Tómbola,Tecleo rápido terminando en '4' pierde el dígito al confirmar (v1.0.1+12),,⛔ Falla,Esperando siguiente versión,,FALSE
BUG-5OR-001,5 de Oro,Consulta de Sorteo sin Resultados muestra Pantalla Gris en lugar de mensaje vacío (v1.0.1+12),,⛔ Falla,Esperando siguiente versión,,FALSE
BUG-LOT-192,Lotería,QR impreso en cupón de Lotería es ilegible por tamaño reducido (v1.0.1+12),,⛔ Falla,Esperando siguiente versión,,FALSE
BUG-CAR-001,Carrito,Banca ofrece alternativas parciales pero oculta el desglose por sorteo (v1.0.1+12),,⛔ Falla,Esperando siguiente versión,,FALSE
BUG-CFG-001,SO/Tablet,Cambiar sonido de Terminal bloquea la UI del POS (v1.0.1+12),,⛔ Falla,Esperando siguiente versión,,FALSE
